Crew,Artist,SAT - CDN Time,SAT - UK Time
By the fire,Old Man Junkins,12:00 PM,7:00 PM
,Sergeyo,12:30 PM,7:30 PM
,Foxy Fish,1:00 PM,8:00 PM
,Burlap Sac,1:30 PM,8:30 PM
The heavy CHILL Collective,Pete Moss,2:00 PM,9:00 PM
,Melo.nade,2:30 PM,9:30 PM
Vibe Hive,Kindll,3:00 PM,10:00 PM
,RAY,3:30 PM,10:30 PM
,Gustoe,4:00 PM,11:00 PM
Slug Wife,Osmetic,4:30 PM,11:30 PM
,Kursa,5:00 PM,12:00 AM
,Seppa,5:30 PM,12:30 AM
Philthy,Eradicate,6:00 PM,1:00 AM
,Distinct,6:40 PM,1:40 AM
Wonk#ay Records,Myr,7:10 PM,2:10 AM
Mutant Bass,Hurt Deer,8:40 PM,3:40 AM
,Sample Junkie,9:10 PM,4:10 AM
Genesa,Grey Matters + Zadkiel,9:40 PM,4:40 AM
,The Genesa Project & Kali Yuga,10:20 PM,5:20 AM
PK,Ruari Lazers,11:00 PM,6:00 AM
,Wax Kitten,11:30 PM,6:30 AM
,Moe Beaslee,12:00 AM,7:00 AM
Kootenay Junglist Movement,Deeps,12:30 AM,7:30 AM
,Slamin,1:00 AM,8:00 AM
,Yetz,1:30 AM,8:30 AM
Family Safe Home Vibes,DJ Sensible,2:00 AM,9:00 AM
